Sesotho	English
ba	of (possessive concord)
ba	subject concord
ba	them (obj. concord)
ba	they
ba babe	bad (adj.)
ba babe	ugly (adj.)
ba bafubedu	red (adj.)
ba baholo	big (adj.)
ba bakaakang !	how big !
ba bakae ?	how big ?
ba bakae ?	how much ?
ba bakana ka	as big as (adj.)
ba bakgunong	light brown (adj.)
ba bakgutshwanyane	short (adj.)
ba balelele; ba batelele	long (adj.)
ba balelele; ba batelele	tall (adj.)
ba bang	others
ba bang	some
ba bang	alone (adj.)
ba bang	certain (adj.)
ba bangata	many (adj.)
ba banyane; ba banyenyane	little (adj.)
ba banyane; ba banyenyane	small (adj.)
ba banyenyane	small (adj.)
ba bapinki	pink (adj.)
ba baputswa	blue (adj.)
ba baputswa	grey (adj.)
ba basehla	yellow (adj.)
ba basesane	thin (adj.)
ba basesane	tight (adj.)
ba basootho	dark brown (adj.)
ba basweu	white (adj.)
ba batala	green (adj.)
ba batenya	thick (adj.)
ba batjha	new (adj.)
ba tjhitja	round
ba batle	beautiful (adj.)
ba batle	good (adj.)
ba batle	pretty (adj.)
ba batona	male (adj.)
ba batonana	huge (adj.)
ba batshehadi	female (adj.)
ba batshehadi	feminine (adj.)
ba batsho	black (adj.)
ba batsho	dark (adj.)
ba tsitsitse	stable (adj.)
ba futsanehileng	poor (the ...)
ba ile ba fumana	have received (they ...)
ba le mamello	patient (be ...) (v.)
baa	demonstrative pronoun that
baahi	population
baahlodi	judiciary
baahlodi	jury
baba	bitter
baballa	economise (v.)
baballa	nestle (v.)
babusi	rulers
badimo	ancestors
badimo	dead (the ...)
badimo	spirits
badisa	count (cause/teach to ...)
badisa	read (cause to ...) (v.)
badisa	read (teach to ...) (v.)
baenari, dibaenari	binary (<Eng)
baesekele, dibaesekele	bicycle (<Eng)
baesekele e mabidi a mararo	tricycle
baesekele ya mabelo	racing bicycle
baesekele ya thaba	mountain bicycle
baesekopo, dibaesekopo	cinema (<Afr: bioskoop)
bafe ?	which ?
Baholo (lebitso)	Elders (male name)
baila	refuse to speak (v.)
baka	bake (v.)
baka	cause (v.)
baka	excite (v.)
baka	provoke (v.)
bakana ya ka hare	waistcoat
baki, dibaki	coat (<Afr: baadjie)
baki, dibaki	jacket (<Afr: baadjie)
baki e futhumatsang	windbreaker
bala	count (v.)
bala	calculate (v.)
bala	read (v.)
bala	browse (Internet)
bala difaele	reading files
bala phoso	read error
balate, dibalate	ballad
bale	demonstrative pronoun those (yonder)
bale	demonstrative pronoun those (yonder)
baleha	flee (v.)
balehela	flee to (v.)
balehela	flee towards (v.)
balella	count (together)
balella	read together with (v.)
baletsweng	prescribed
balla	count for (v.)
balla	presribe (v.)
balla	read for (v.)
ballwa	counted (be ... for)
ballwa	read (be ... for) (v.)
balune, dibalune	balloon
balunu, dibalunu	balloon
balunu ya moya o tjhesang	hot air balloon
balwa	counted (be ...)
balwa	read (be ...) (v.)
bampara, dibampara	bumper (<Eng)
bana	children
bana	demonstrative pronoun these
banana, dibanana	banana
bane	demonstrative pronoun those (yonder)
bane	demonstrative pronoun that (yonder)
banjo, dibanjo	banjo
banka, dibanka	bank (<Afr: bank)
banka, dibanka	bench (<Afr: bank)
banka, dibanka	bunk (<Eng)
banna	men
banna	my ! (exclamation by men)
bano	demonstrative pronoun those
bantetjhe, dibantetjhe	bandage
bantetjhe e tshetlehang, dibantetjhe tse tshetlehang	sling
banyadi	marriage couple
bao	demonstrative pronoun there
bapa	near (be ...) (v.)
bapa	parallel (become ...) (v.)
