Sesotho	English
haeteroliki	hydraulic (<Eng)
haeteroniamo ayone	hydronium ion (<Eng)
Haedrojene	Hydrogen (H) [Element]
Hafniamo	Hafnium (Hf) [Element]
haha	build (v.)
hahara	to gather in great quantity (v.)
hahela	build for (v.)
haholo	much
haholoholo	especially
haholoholo	radical
haholoholo	very much
haka	cuddle (v.)
haka	hook (<Afr: hak)
hakaakang	so much
hakana	so much
hakella	attach (v.)
ha kgutshwanyane	briefly
halalelang	holy
halalelang	sacred
halefa	angry (become...) (v.)
halefa	cross (become ...) (v.)
halefile	angry (be...) (v.)
halefisa	anger (v.)
halofo, dihalofo	half
halofo ya tefello	half price
halojene, dihalojene	halogen (<Eng)
hama	milk (v.)
hambeka, dihambeka	hamburger
hamela	milk for (v.)
hammoho	simultaneous
hammoho	simultaneously
hammoho	together
hammoho le	together with
hamolemo	friendly (adv.)
hamolemo	good (adv.)
hamore, dihamore	hammer (<Eng/Afr: hammer)
hampe	badly
hana	deny (v.)
hana	object (v.)
hana	refuse (v.)
hananang le phetoho	conservative
hane	demonstrative pronoun that (yonder)
hanekausu, dihanekausu	glove
hanekausu ya raba	latex glove
hanela	curb (v.)
hanela	forbid (v.)
hanela	restrict (v.)
hang	once
hangata	frequently
hangata	many times
hangata	often
hanghang	immediate
hanghang	instantly
hanimunu	honeymoon (<Eng)
hantle	beautiful (adv.)
hantle	fine (adv.)
hantle	good (adv.)
hantle	nicely (adv.)
hantle	rightly (adv.)
hantle	well (adv.)
hantlentle	actually
hanwang	objectionable
hanyetsa	defy (v.)
hanyetsa	oppose (v.)
hanyetsa	protest (v.)
hanyetsi, dihanyetsi	resistor
hao	your (possessive)
hapa	capture (v.)
hapa	confiscate (v.)
hapa	seize (v.)
hapa	snatch (v.)
hape	again
hape	once more
hape	too
hapeletsa	force (v.)
hapile	captured
hapile	seized (v.)
hapile	snatched  (v.)
hara	between
hara	coil (v.)
hara	middle of
hara	midst (in the ...)
haraka, diharaka	rake (n.) (<Afr: hark)
harakile	raked (v.)
hare ha naha	inland
harepa, diharepa	harp (<Eng)
hasa	broadcast (v.)
hasa	disperse (v.)
hasa	scatter (v.)
hasana	scatter (v.)
hasane	scattered (be ...) (v.)
hasanya	disperse (v.)
hasanya	scatter (cause to ...) (v.)
Hassiamo	Hassium (Hs) [Element]
hata	tread (v.)
hatella	press down (v.)
hatella	subdue (v.)
hatisa	print (v.)
hatisa	stamp (v.)
hatisa	tread on (cause to ...) (v.)
hatisetsa	print
hatisetsa leqephe lena	print this page
hatlela	was hands (v.)
hatsela	cold (feel ...)
haufi	close (adv.)
haufi	near (adv.)
haufi le	close to
haufi le	near to
haufi le	next to
haufinyane	shortly
haufinyane	soon
haulang	pitiful
he	then
hee	hey
heke, diheke	gate (<Afr: hek)
hekesekon, dihekesekon	hexagon (<Eng)
hela	hello there (<Eng.)
hela	mow (v.)
hela mohlwa	mow the lawn
helehang	ramshacle
helele	hello (<Eng.)
helemete, dihelemete	helmet (<Eng)
heletsa	demolish (v.)
Heliamo	Helium (He) [Element]
helikopotare, dihelikopotare	helicopter (<Eng.)
hemisefere, dihemisefere	hemisphere (<Eng)
hempe, dihempe	shirt (<Afr: hemp)
heno	your (possessive)
henqa	catch (v.)
hentlele, dihentlele	handle (n.) (<Eng)
hentlele ya lemati	door handle
heso	our
hilika	to make something round (v.)
himofilia	haemophilia (<Eng.)
hira	appoint (v.)
hira	employ (v.)
hira	hire (v.)
hiroine	heroin (drug)
histokerama, dihistokerama	histogram
histori, dihistori	history
hitara, dihitara	heater (<Eng)
hlaba	inject (v.)
hlaba	stab (v.)
hlabela	sacrifice (v.)
hlafuna	chew (v.)
hlaha	appear (v.)
hlaha	dry grass
hlaha	originate (v.)
hlaha	untamed
hlaha	wild
hlahatsa	expose (v.)
hlahela	appear to (v.)
hlahisa	express (v.)
hlahisa	point out (v.)
hlahisa	propose (v.)
hlahisa	state (v.)
hlahisitse	pointed (v.)
hlahlama	follow (v.)
hlahlama	succeed (v.)
hlahla-se-maele	cannabis
hlahla-se-maele	marijuana
hlahlela	jail
hlahloba	assess (v.)
hlahloba	examine (v.)
tekolo	check-up
hlahlobo; tlhahlobo	examination
hlahlobo; tlhahlobo	inspection
teko ya madi	blood test
Tekolo ya mopeleto	spellcheck
tlhaho	nature
hlahola	hoe (v.)
hlaka	visible (v.)
hlakile	bright
hlakile	clear
hlakola	clean (wipe ...) (v.)
hlakola	delete
hlakola	erase
Hlakola	February
hlakola	wipe (v.)
hlakola ntlha ya ho robeha	delete break point
hlakorenne, dihlakorenne	quadrilateral
Hlakubele	March
hlala	divorce (v.)
hlalefa	intelligence
hlalosa	define (v.)
hlalosa	describe (v.)
hlalosa	explain (v.)
hlalosetsa	explain to (v.)
tlhaloso	definition
hlama	dough
hlama	pastry
hlamatsehang	glamorous
hlamela	prepare (v.)
hlano	five
hlanya	insane
hlanya	mad
hlaola	weed (v.)
hlaola	hoe (v.)
hlaolela	hoe for (v.)
hlapa	wash oneself (v.)
hlapanya	swear (v.)
hlapanya	take an oath (v.)
hlapaola	insult (v.)
hlapaola	swear (v.)
hlaphohelwa	recover (from an illness) (v.)
hlaphohetswe	recovered (v.)
hlapholla	dilute (v.)
hlapi, dihlapi	fish
hlasela	assault (v.)
hlasela	attack (v.)
hlatsa	throw up (v.)
hlatsa	vomit (v.)
hlatswa	wash (v.)
hlatswetsa	wash for (v.)
hlatswitse	washed (have ...) (v.)
hle (... hle)	please
hlehla	jog (v.)
hlehla	trot (v.)
hlehlisa	trot (cause to ...) (v.)
hlena	red warm (be ...) (v.)
hlepha	loose (become ...) (v.)
hlephile	loose
hlephisa	loosen
hlephisa	relax (v.)
hlobaelang	sleepless
hlobola	undress (v.)
hlobotseng	naked
hlodisa	peep (v.)
hlodisana	compete (v.)
hlohla	tease (v.)
hlohlelletsa	incite (v.)
hlohlelletsa	indoctrinate (v.)
hlohlomisa	tabulate (v.)
hlohlona	itch (v.)
hlohlora	shake (v.)
Hlohlowane	Clocolan
hloho, dihloho	principal
hlohong	head in
hlohonolofatsa	bless (v.)
hloile	hated (v.)
hloka	need (v.)
hloka	short (be ... of) (v.)
hloka kelello	absurd
hloka leeme	arbitrary
hloka molato	innocent
hlokahala	needed (be ...) (v.)
hlokahetseng	late
hlokang	dependent
hlokang thuso	helpess
hlokehang	necessary
hlokisa	deprive
hloko	attention
hloko	carefulness
hlokofatsang	offensive
hlokofetseng	serious
hlokomedisa	warn (v.)
hlokomediso	alert
hlokomela	beware
hlokomela	caution
hlokomela	look after (v.)
hlokomela	take care (v.)
hlokomela	watch (v.)
hlokomela setepisi	mind the step
hlokomelang	careful
hlokomelwa	cared (be ... for) (v.)
hlokomoloha	disregard
hlokomoloha	ignore
hlokomoloha	neglect
hlokomoloha kaofela	ignore all
hlola	beat (v.)
hlola	conquer (v.)
hlola	overcome (v.)
hlola	stay (v.)
hlola	surpass (v.)
hlola	vanquish (v.)
hlola	win (v.)
hloleha	fail (v.)
hlolehiso ya sesebeletsi	formatting toolbar
hloleho (pl. dihloleho)	attribute
hloleho pele	preformat
hlolela	unable
hlolla	baffle (v.)
hlolla	be extraordinary (v.)
hlolwa	beaten (be...)
hlolwa	conquered (be ...) (v.)
hloma	believe erroneously (v.)
hloma	erect (v.)
hloma	establish (v.)
hloma	imagine (v.)
hloma	plant (v.)
hlomela	take up arms (v.)
hlomohileng	sad
hlompha	honour (v.)
hlompha	respect (v.)
hlomphano	etiquette
hlomphehang	dignified
hlomphehang	respectable
Tlhompho (lebitso)	Respect (male name)
seriti	dignity
monyetla	privilege
hlomphollo	disgrace
hlompjhwa	respected (be ...) (v.)
hlonama	grief
hlooho, dihlooho	head
hlooho, dihlooho	topic
hlooho e opang	headache
hlooho ya terene	locomotive
hlopha	arrange (v.)
hlopha	plan (v.)
hlophisa	arrange (v.)
hlophisa	classify (v.)
hlophisa	edit (v.)
hlophisa	organise (v.)
hlophisa ka ho rapameng	arrange horizontally
hlophisa ka ho tsepameng	arrange vertically
hlophiso	arrangement
hlopholla	analyse (v.)
hlora	be unhappy (v.)
hlorileng	lonely
hlotla	filter (v.)
hlotsa	limp (v.)
hloya	hate (v.)
hloya	loathe (v.)
hloyang	hateful
hlwa	climb
hlwaele	oribi [Ourebia ourebi]
hlwaya	select
hlweka	clean (become ...)
hlwekile	clean (adj.)
hlwekile	clean (is ...)
hlwekileng	clean
hlwekileng	pure
hlwekisa	clean (v.)
hlwekisa	cleanse (v.)
hlwekisa	clear (v.)
hlwekisa	disinfect (v.)
hlwekisa	purify (v.)
hlwekisa	purge (v.)
hlwekisa ntle ho metsi	dryclean (v.)
hlweko	purity
hlwela	climb for (v.)
hlwela	spy (v.)
hlwella	climb to (v.)
hlwella	mount (v.)
ho	from
ho	it
ho	objectival concord
ho	on
ho	subject concord
ho	to (infinitve)
ho a bata.	it is cold
ho a tjhesa	it is hot
ho a tjhesa.	it is warm
ho ahlolelwa ka ntle	suspended sentence
ho antsha	breastfeed
ho antsha lesea botlolo	bottle-feed
Ho aparela motho kobo (maele)	To respect (idiom)
Ho ba hloho e bonolo (maele)	To be clever (idiom)
Ho ba kgwaba la methati yohle (maele)	To be a jack of all trades (idiom)
ho ba le HIV	HIV positive
ho ba le tshwaetso	seropositive
Ho ba pelo-hlomohi (maele)	To be merciful (idiom)
ho ba teng	existence
ho bala 	reading 
Ho bea ditho ho hlahisa kgomo (maele)	Patience is a virue (proverb)
ho beha borena	coronation
ho beha sekgobo	stigmatise
Ho bina koma hae (maele)	To reveal secrets (idiom)
ho boima	difficult (it is ...)
ho bola ha leino	tooth decay
ho bolaya dikokwanahloko	sterilise
Ho bona ntja e ntsho (maele)	To faint (idiom)
ho bonahala	transparency
Ho bonya le morwetsana (maele)	To be in love with a girl (idiom)
ho bua 	speaking 
Ho bua hase ho phetha (maele)	Great talkers are never great doers (proverb)
Ho di bona matswele (maele)	To run away (idiom)
ho dula ha sefofane	airplane landing
Ho ema ka ditlhako (maele)	To be tall (idiom)
Ho ema le ho makala (maele)	To be surprised (idiom)
ho ema paneng	guarentee
ho etsa nyao	tattoo (v.)
ho etsa teko	test (v.)
ho fa sebopeho	formatting
ho falla	migration
ho falla	removal
ho fana ka madi	donate blood
Ho fata kgotso (maele)	To negotiate for peace (idiom)
Ho fata seolo (maele)	To work very hard (idiom)
ho ferekana	mental disease
ho feroha	nausea
ho feta	than
ho feta nako	overtime
ho fetolela	converting
ho fihla	arrival
ho fihlela	until
ho fokola	weakness
ho thola boima	weight loss
ho fumanwa ha faele	file recovery
ho futhumetse	warm (it is ...)
Ho hana bohane (maele)	To refuse completely (idiom)
ho hang	absolutely
Ho hata kwekwe (maele)	To walk gracefully (idiom)
ho hatlela	menstruate (v.)
ho hlaha	appearance
ho hlahile phoso ya ka hare	an internal error occurred
ho hlaka	brilliance
ho hlalosang	explains (which ...) (v.)
ho hlatswa	menstruate (v.)
ho hloka botshepehi	dishonesty
ho hloka tsebo	ignorance
ho hokaakang !	how big !
ho hokae ?	how big ?
ho hokae ?	how much ?
ho hokana ka	as big as (adj.)
ho hong	alone (adj.)
ho hong	certain (adj.)
ho honyane	small (adj.)
ho honyenyane	small (adj.)
Ho inkela hodimo (maele)	To make oneself important (idiom)
Ho ithoma tshotswana (maele)	To pretend to be busy (idiom)
ho ithuta ka difilimi 	film study 
ho itlhaba ka nale	self-injection
ho itlosa bodutu	hobby
Ho ja hloho (maele)	To think (idiom)
Ho jaka ka leleme (maele)	To adopt a foreign language (idiom)
Ho jewa ke hloho (maele)	To suffer from head-ache (idiom)
ho kampa	camping
ho kena boholo	puberty
ho kena boholo	adolescence
ho kenya indekse	inserting index
ho kokota	knock
ho kula haholo	seriously ill
ho kwallwa ka hare	trapped inside
ho lahlana ha dithaka	peer pressure
ho lala ha ntwa	ceasefire
ho lapa	hunger
ho lekola mopeleto ka kotloloho	autospellcheck
ho lokile	good (this is ...)
ho loma motho tsebe (maele)	give someone a hint to be careful (proverb)
ho longwa ke noha	snake bite
Ho lwana badula-mmoho (maele)	Those who stay together often quarrel (proverb)
ho mamela 	listening 
ho mong	somebody (to ...)
ho ne ho bonahala	it was clear
ho ne ho bonahala	it was clear
ho nehelana 	presenting 
ho nele	rained (it has ...)
ho ngola 	writing 
Ho nkgana monkgo (maele)	To be of the same mind (idiom)
ho nomora	numbering
Ho nonya motho maikutlo (maele)	To test one's feelings (idiom)
ho nqosa	prosecution
ho ntsha mpa	abortion
ho ntsha tjotjo	bribery
Ho ntshana se inong (maele)	To be close friends (idiom)
ho ntshwa ha meno	extraction of teeth
ho nwa ho feta tekano	overdose
Ho nya matsete (maele)	To reveal secrets (idiom)
ho nyahama	despair
ho nyaroha	reflex
ho nyonya	disgust
Ho oma ka hloho (maele)	To nod in agreement (idiom)
Ho oma nthane (maele)	To be very thirsty (idiom)
Ho opela motho mahofi (maele)	To applaud (idiom)
ho opelwa ke leino	toothache
Ho otlela tweba sehong (maele)	To save for the future (idiom)
ho petsoha	tear (v.)
Ho pheha ka lemina (maele)	To be in mourning (idiom)
ho phofa	nightmare
Ho qela mohope wa metsi (maele)	To ask for a girl's hand in marriage (idiom)
Ho qetwa ke letsapa (maele)	To be tired (idiom)
ho rata	admiration
ho ratana	fall in love
Ho ribeha motho ka pitsa ya moeta (maele)	To tell one what he already knows (idiom)
Ho robala ka lephako (maele)	To sleep hungry (idiom)
ho ruruha	swelling
ho se amohele	denial
ho se be le HIV	HIV negative
ho se be le tshwaetso	seronegative
ho se dumellane	disagreement
ho se hlwebe ha madi	haemophilia
ho se lakatse dijo	loss of appetite
ho se utlwisise	misunderstanding
Ho sebeletsa Mphatshwanyane (maele)	To work for nothing (idiom)
ho seng jwalo	otherwise
ho senyehelwa	miscarriage
ho setseng	remainder
ho sihletsa mahetla	shrug
Ho silela ifo (maele)	To live from hand to mouth (idiom)
ho sithabela	stress
ho sokela	constipation
ho sunya	penetration
ho taka mokgora	tattoo (v.)
ho tena	annoyance
ho tetebela maikutlo	depression
ho thata	difficult (it is ...)
ho theoha mmeleng	weight loss
ho thulana	collision
ho thwe	said (it is ...)
ho tjheswa ka letsatsi	suntan
ho tjhetjha	retreat
ho tla na	rain (it will ...)
ho tloha	since
ho tloha	since
ho tloha ha sefofane	airplane take off
ho tlohela kgalekgale; ho tlohela kgale-kgale	from time immemorial
Ho tlola molao (maele)	To break the law (idiom)
ho tlotsa ka boka	glue
Ho tlotsa motho ka lera mahlong (maele)	To deceive a person (idiom)
ho totobetse	obvious (it is ...)
ho tseba	acquaintance
ho tseba	recognition
ho tseba tsohle	all-knowing
ho tseba tsohle	omniscient
Ho tshaba moru o se nang nkwe (maele)	To fear a harmless thing (idiom)
Ho tshepa ntshepedi ya bontshepe (maele)	To expect something that will never happen (idiom)
ho tshepela lekunutu	confidentiality
ho tsherema	weakness
ho tshwara	arrest
Ho tshwara ka meno (maele)	To be very busy (idiom)
ho tshwarwa ke motlakase	shock (n.)
ho tswedipanya mmele	gymnastics
ho uba ha pelo	heartbeat
ho uba ha pelo	pulse
Ho utlwa ka tjhetjhe e feta (maele)	To learn from rumour (idiom)
Ho wa phuhla (maele)	To lose all one's wealth (idiom)
Ho ya boya-batho (maele)	To die (idiom)
Ho ya ho ile (maele)	To go on continuously (idiom)
ho ya kgweding	menstruate (v.)
ho ya le kgongwana hodimo	flattered (become ...) (v.)
Ho ya masihlwane (maele)	To die (idiom) 
hoa	exclaim (v.)
hoa	scream (v.)
hoba	after
hoba	so that
hobane	because
hobaneng	why
hobela	dancing by a man (v.)
ho bolelwang	meaning
hodile	grown up (v.)
hodile	old (is ...) (v.)
hodileng	mature
hodima	on
hodima	on top of
hodimo	above
hodimo	loud
hodimo	up
hodimo	upwards
hodisa	bring up (v.)
hodisa	enlarge (v.)
hodisa	magnify (v.)
hodisa	zoom (v.)
hodisetsa kahare	zoom in
hodisetsa kantle	zoom out
hoeletsa	shout (v.)
hoeletsa	proclaim (v.)
hoeletsa	scream (v.)
hofe ?	which ?
hohela	attract (v.)
hohela	lure (v.)
hohelang	attractive
hohla	chafe (v.)
hohlana	conflict
hohle	all (quantitative pronoun)
hohle	everywhere
hohlola	cough (v.)
hoja	if only
hokahanya	connect
hokanya	connect
hokela	attach
hola	demonstrative pronoun those (yonder)
hola	grow (v.)
hola	if only
hola	old (become ...) (v.)
hole	far
hole	remote
holela	grow for (v.)
holetse	grew up in (v.)
Holmiamo	Holmium (Ho) [Element]
holo, diholo	hall (<Eng)
holo	adult
holo	big
holo	eldest
holo	large
holo	old
holo	senior
holo ya ba fihlang	arrival hall
holo ya ho tantsha	dance hall
holo ya kereke	church hall
holo ya sekolo	school hall
holo ya setjhaba, diholo tsa setjhaba	community hall
holofatsa	cripple (v.)
holofatsa	paralyse (v.)
holofetse	disabled
holofetseng	lame
hona	demonstrative pronoun this
hona	it (absolute pronoun) 
hona	possessive pronoun
hona	snore (v.)
hona jwale	just now
hona jwale	right now
hono	demonstrative pronoun that
honotha	mutter (v.)
honyela	contract (v.)
honyela	shrink (v.)
hoo	to the extent that
hoo	demonstrative pronoun that
hoo	demonstrative pronoun there
hopola	remember (v.)
hopolana	remember one another
hopotsa	remind (v.)
hopotse	remembered (v.)
hopotswe	remembered (was ...) (v.)
hora, dihora	hour
hora ya botshelela	six o' clock
hore	in order that
hore	that
hore	that so that
hore e be	it may be so that
hosane	tomorrow
hosele	different
hosele	elsewhere
hosele	strange
hoseng	early in the morning
hoseng	morning
phoso thomellong ya poso	error sending mail
hotele, dihotele	hotel (<Eng)
hotetsa	ignite (v.)
housephaepe, dihousephaepe	hose pipe (<Eng)
HTML	HTML
huku, dihuku	angle (<Afr: hoek)
huku, dihuku	hook (<Eng)
hula	drag (v.)
hula	draw (v.)
hula	pull (v.)
hula	tow (v.)
hula o lahle	drag and drop
hulanya	drag (v.)
hutara, dihutara	hooter
hwama	curdle (v.)
hwama	freeze (v.)
hwapa	frown (v.)
hweba	trade (v.)
hwebisa	import (v.)
hwehla	beckon (v.)
hwelea	stammer (v.)
hwelea	stutter (v.)
hweshetsa	whisper (v.)
hwetla	fall (season)
IDE ya motheo	basic IDE
idibana	faint (v.)
ifo	hearth (at the ...)
ikaketsa	pretend (v.)
ikana	swear (v.)
ikarabela	responsible (be ...) (v.)
ikemela	defend oneself (v.)
ikemisetsa	strive (v.)
iketlileng	comfortable
iketsisa	feign (v.)
iketsisa	pretend (v.)
iketsisa	simulate (v.)
ikgalafetse	angry with oneself
ikgalefela	cross (become ... with oneself) (v.)
ikgantsha	brag (v.)
ikgapeletsa	force oneself (v.)
ikgatholla	refresh oneself (v.)
ikgethang	distinct
ikgethang	particular
ikgethileng	special
ikgethileng	peculier
ikgohomosa	conceited
ikgohomosang	proud
ikgula	vacate (v.)
ikhoishene, diikhoishene,; tekanyetsopalo	equation (<Eng)
quadratic equation	quadratic equation
icosahedron	icosahedron
ikokobeditse	obedient
ikokobeditseng	humble
ikokobetsa	obey (v.)
ikutlwa	hear oneself (v.)
ikutlwang	conscious
ila	hate (v.)
ila	turn away from (v.)
ile	gone (has ...) (v.)
ile	has
ile	have
ilektrone, diilektrone	electron (<Eng)
ima	fall pregnant (v.)
imametseng	modest
imeili, diimeili (pl.10	e-mail
imme	pregnant
ina	immerse (v.)
ina	plunge (v.)
ina	put into water (v.)
ina	soak (v.)
inahanelang	selfish
inama	bow (v.)
inama	stoop (v.)
inbese	inverse (<Eng)
India	India
Indiamo	Indium (In) [Element]
ineela	surrender (v.)
infoleishene	inflation (<Eng)
ingodise (rm) 	subscribe
insuleitara, diinsuleitara	insulator (<Eng)
Inthanete	Internet
inthanete	internet
intheka, diintheka	integer (<Eng)
tswala	interest (<Eng)
intlafatsa	beautify (v.)
inyatsa	regret (v.)
ipata	conceal oneself (v.)
ipata	hide oneself (v.)
ipeola	shave oneself (v.)
ipha	give oneself (v.)
iphehela	cook for oneself
iphepa	feed oneself (v.)
iphetetsa	avenge (v.)
ipiletsa	appeal (v.)
ipoela	return by oneself (v.)
ipolela	confess (v.)
ipolella	tell oneself (v.)
ipona	see oneself (v.)
iponela	see for oneself (v.)
Iridiamo	Iridium (Ir) [Element]
isa	go (cause to ...) (v.)
isa	take away (v.)
Isa sengolweng	export to text
isao	next year
iswa	taken (be ... to) (v.)
itaela	command oneself
Itali	Italy
itaya	reprimand oneself (v.)
ithabisa	enjoy oneself (v.)
ikwetlisa	exercise (v.)
ithata	love oneself (v.)
ithata	neat (be ...) (lit. love oneself) (v.)
ithekela	buy for oneself (v.)
ithimola	sneeze (v.)
ithorisa	boast (v.)
ithorisang	boastful
ithuta	learn (v.)
ithuta	study (v.)
ithuta	teach oneself (v.)
ithuta ka pelo	learn by heart (v.)
ithwala	fall pregnant
ithwetse	pregnant
itjesa	eat (make oneself ...) (v.)
itjesa	feed oneself (v.)
itjhapa	hit oneself (v.)
itjwetsa	tell oneself (v.)
itlhahloba	examine oneself (v.)
itlhohlora	shake oneself (v.)
itlhohlora	withdraw from affairs (v.)
itlohela	leave oneself (v.)
itlohella	leave oneself to (v.)
itokisa	prepare oneself (v.)
itokisetsa	prepare oneself for (v.)
itshepa	confident
itshetleha	lean (v.)
itshoma	mock oneself (v.)
itshwara	behave (v.)
itshwara	carry oneself (v.)
itshwara	conduct (v.)
itshwara hampe	misbehave (v.)
itshwarella ka	depend (v.)
itsohedisa	masturbate (v.)
Itumeleng (lebitso)	Be joyous / Be grateful (female name)
itwanela	retaliate (v.)
ja	eat (v.)
ja	slap (v.) (ideophone)
ja lefa	inherit
jabela	slap (v.)
jadile	planted (v.)
jahileng	hasty
Jakobo	James (Biblical Name)
jakone, dijakone	jargon (<Eng)
jala	plant (v.)
jala	sow (v.)
jambojete, dijambojete	jumbo jet
Japane	Japan
jara	carry (v.)
jara, dijara	jar (<Eng)
jarete, dijarete	yard (<Eng)
jarisa	carry (cause to ...) (v.)
jarwa	carried (become ...) (v.)
jase, dijase	coat (<Afr: jas)
jase ya laboratori, dijase tsa laboratori	laboratory coat
jase ya pula, dijase tsa pula	raincoat
jehang	edible
jeke, dijeke	jug (<Eng)
jele	eaten (has ...) (v.)
jele, dijele	gel (<Eng)
jeli, dijeli	jelly (<Eng)
jeme, dijeme	jam (<Eng)
jeokerafi	geography
jeometri	geometry
jere	carried (have ...) (v.)
Jeremane	Germany
Jeremia	Jeremiah (Biblical Name)
jeresi, dijeresi	jersey
jerwe	carried (being ...) (v.)
jesa	eat (cause to ...) (v.)
Jeso	Jesus
Jeso	Jesus (Biblical Name)
jete, dijete	jet (<Eng)
jetse	sowed (v.)
jewa	eaten (be ...) (v.)
jimnastiki, dijimnastiki	gymnastics
jj.	etc.
Jobo	Job (Biblical Name)
Joele	Joel (Biblical Name)
Johanne	John (Biblical Name)
joki, dijoki	jockey (<Eng)
joko, dijoko	yoke (<Eng)
Jonase	Jonah (Biblical Name)
joo !	poor me !
Josefa	Joseph (Biblical Name)
Jupita	Jupiter [Planet]
jwala, majwala	beer
jwale	now
jwale he	now then
jwale ka	as
jwale ka	like
jwale ka	such as
jwalo	such
jwalo ka	like
jwalo-jwalo	et cetera
jwang	how
jwang, majwang	grass
jwang ba ho rulela	thatching grass
jwang kapa jwang	anyhow
jwetsa	inform (v.)
jwetsa	tell (v.)
jwetsitse	told (v.)
ka	about
ka	with
ka	at
ka	by
ka	can
ka	may
ka (possessive concord + ka)	mine (possessive stem)
ka (possessive concord + ka)	my (possessive stem)
ka	not
ka	through
ka beke	weekly
ka boyona	on its own
ka bobona	on their own
ka bohona	on its own
ka bokgutshwanyane	in short
ka bolona	on its own
ka boomo	deliberate
ka boomo	wilful
ka boona	on their own
ka bosona	on its own
ka botsona	on their own
ka botsona	on their own
boithatelo; boithaopo	voluntary
ka bowona	on its own
ka boyena	on his/her own
ka boyona	on its own
ka botsona	on their own
ka boyona	mechanical
ka dialla	before daybreak
ka eng ?	with what ?
ka etswang	practical
ka hare	in the middle
ka hare	inside
ka hare	internal
ka hare	within
ka hoba	by reason of
ka hodimo	over
ka hohle	around
ka hoo	therefore
ka hosele	otherwise
ka lehlohonolo	fortunately
ka lehlohonolo	luckily
ka lekeke	askew
ka letsatsi le leng	some day
ka mamello	patiently
ka mehla	always
ka mehla	daily
ka mehla	ordinary
ka mehla	regularly
ka meso	dawn (at ...)
ka mohlomong	now and then
ka molao	regular
ka mora	after
ka morao ho jarete	backyard
ka nama	self
ka nama	personal
ka nnete	indeed
ka nnete	really
ka nnete	truly
ka ntle	out
ka ntle	outside
ka ntle	without
ka pele	ahead
ka pele	in front
ka sebele	reality (in ...)
ka selemo	annual
ka selemo	yearly
ka sewelo	seldom
ka thoko	aside
ka tsebo	theoretical
ka tsela	in order
ka tsela ena	thus
ka tshohanyetso	accidental
ka tshohanyetso	accidentally
ka tshohanyetso	sudden
kaa ka	as big as
kaa ka	as much as
kaalo	as big as
kaalo	as much as
kaalo	such
kabelo, dikabelo	fate
kabelo, dikabelo	contribution
kadimo	loan
Kadmiamo	Cadmium (Cd) [Element]
kae ?	where ?
kae kapa kae	anywhere
kaekae	elsewhere
kaekae	somewhere
kahare, dikahare	organ
kahisano	co-existence
kahlolo	judgement
kahlolo	verdict
kajeno	today
kakanyo	guess (n.)
kakaretso	abstract
kakaretso	summary
kakaretso	total
kako, dikako	kiss
kalafo, dikalafo	medical care
kalafo, dikalafo	treatment
kalaka	lime (<Afr: kalk)
kalaka e tshweu	whitewash
kalakune, dikalakune	turkey
kalama	ride a car (v.)
Kaliforniamo	Californium (Cf) [Element]
kalla	ride (v.)
Kalsiamo	Calcium (Ca) [Element]
kama, dikama	comb (<Afr: kam)
kamano, dikamano	connection
kamano, dikamano	contact (n.)
kamano, dikamano	relationship
kamele, dikamele	camel
kamo	touch
Kamohelo (lebitso)	Acceptance / Welcome (female name)
Kamohelo (lebitso)	Acceptance / Welcome (male name)
kamohelo, dikamohelo	reception
kamohelo	acceptance
kamohelo	credibility 
kamohelo	welcome (n.)
Kamohelo	Welkom
phaposi, diphaposi	room (<Afr: kamer)
phaposi ya ho hlapa	bathroom
phaposi ya ho ithutela	study (room)
phaposi ya ho jela	dining room
phaposi ya ho phomola	lounge
kamore ya ho robala	bedroom
phaposi ya ho hlapa	bathroom
kamore ya polokelo	storeroom
kampa	camp (v.)
kampo, dikampo	camp (n.)
kana	so much
kana-kana	as big as
kana-kana	as much as
kanale, dikanale	canal
kananelo	thanks
Kananelo (lebitso)	Approval / Appreciation (female name)
Kananelo (lebitso)	Approval / Appreciation (male name)
kane ya metsi	watercan
lekotikoti	can
kang	like
kankere, dikankere,; mofetshe (s.?) mafetshe (pl.?)	cancer (<Afr: kanker)
kano, dikano	coat of arms
kano, dikano	oath
kano, dikano	vow
kanono, dikanono	cannon (<Eng/Afr: kanon)
kanta, dikanta	lace (<Afr: kant)
kantoro, dikantoro	office (<Afr: kantoor)
kanu, dikanu	canoe (<Eng)
kaofela	whole
Kapa	Cape
Kapa	Cape Town
kapa	either
kapa	nor
kapa	or
kapa	whether
Kapa Bophirimela	Western Cape
Kapa Botjhabela	Eastern Cape
Kapa Leboya	Northern Cape
kapotene, dikapotene	captain (<Afr: kaptein)
Karabo (lebitso)	Answer (male name)
karabo, dikarabo	answer (n.)
karabo, dikarabo	reply (n.)
karatjhe, dikaratjhe	garage (<Eng)
karatjhe ya ho paka	parking garage
karatjheng	garage (at the ...)
karavane, dikaravane	caravan (<Eng.)
karete, dikarete	card (<Afr: kaart)
karete ya ditshwantsho	graphics card
karete ya kutlo	audio card
karete ya laeborari	library card
karete ya modumo	sound card
karete ya mohala	telephone card
karete ya sekoloto	credit card
karete ya sim, dikarete tsa sim	sim card
kariki, dikariki	cart
kariki ya dipere	horse cart
karohano	parting
karolo, dikarolo	part (n.)
karolo, dikarolo	portion
karolo, dikarolo	section
